Site,Plot,Measuremen,Est_date,10_27_1998,01_26_1999,07_12_1999,10_27_1999,02_25_2000,06_21_2000,10_17_2000,01_17_2001,05_02_2001,07_31_2001,01_07_2002,03_18_2002,04_18_2002,05_16_2002,06_03_2002,07_12_2002,08_12_2002,09_10_2002,10_10_2002,11_09_2002,12_13_2002,01_09_2003,02_20_2003,03_21_2003,04_24_2003,10_02_2003,02_25_2004,07_21_2004,02_11_2005,06_13_2005,11_09_2005,06_19_2006,11_14_2006,06_09_2007,09_12_2007,11_20_2007,03_10_2008,06_13_2008,09_15_2008,11_11_2008,02_02_2009,05_08_2009,08_18_2009,12_01_2009,04_20_2010,07_29_2010,10_28_2010,01_25_2011,04_06_2011,07_20_2011,05_08_2013,09_08_2014,09_21_2015,09_19_2016,05_09_2017,12_05_2017,05_08_2018,12_09_2018,04_27_2019
SH3,2a,3,07_28_1998,1,4,6.7,16,15,17.6,18.3,24.6,21.5,16.5,23,17.8,17.4,26.4,17.5,9.6,15.1,21.5,24.5,18.5,18.5,20.6,22.2,30.1,22.6,36.5,40.2,30.6,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2b,1,07_28_1998,1,2,5.2,6.5,4,8.9,6.6,10.5,19.5,6.8,9.3,13.2,14.8,17.1,14.6,14.3,39.9,19,26.5,25.4,33.4,20.5,13.3,12.8,27.5,17.2,19.6,29.5,39.8,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2b,2,07_28_1998,2,5,10,5,4,16.4,7.4,11.5,36.1,9.4,10.3,14.5,15.1,16,16,12.6,41.1,21.1,27.9,24.1,34.9,16.3,12.8,15,28,21.5,17.4,29.4,31.3,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2b,3,07_28_1998,2,1,9,6.5,9,13.5,11.2,13.1,26,12.2,10.5,12.5,15.4,19.2,15.4,15.9,38.4,22.3,27,22.6,30.5,20.7,14.6,17.2,30,16.8,22,26.7,32.4,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2c,1,07_28_1998,1,4,3,3,3,14.6,15.4,16.3,6.4,9.9,10,17.8,13.9,10,12.4,15.5,17.1,31,17.7,26.6,25.1,57.2,26.8,28.5,24.2,39.2,26.6,NF,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2c,2,07_28_1998,2,2,10,3.5,2,9.3,12.8,14.2,7.5,12.5,6.6,17,10,13.1,16.7,16.8,15.1,33.4,16.5,27.5,26.3,35.8,31.4,26.7,26,35.5,22,NF,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2c,3,07_28_1998,3,2,3.5,7,0.5,11.4,14.1,14.1,6.6,9.6,14.5,17,11,12.3,12.5,15.9,21,32.2,18.5,28.7,29,28.4,29.8,29.9,25.1,43.1,27.1,NF,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3a,1,07_28_1998,4,4,1,2.5,10,5.8,6.8,5.3,9.1,4.2,25.3,8.4,6.2,8.9,8.6,11.1,12.3,29.4,25.6,18.8,36,25.6,9.5,19.5,18.5,27.1,37.1,6.7,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3a,2,07_28_1998,0.1,4,1,2,4,6.2,5.5,12.3,12.6,5.4,17.5,8.8,6.5,21.2,7.8,10,10.5,31.5,27.9,20.7,37.2,23.9,10.7,16.4,17.9,25.5,31.9,4.2,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3a,3,07_28_1998,1,4,1,1.8,6,4.4,5.8,9.5,7.4,7.8,20.9,10.9,6.6,20.7,8.4,7.2,13.6,26.3,24.8,18.2,37.1,21.2,9.5,16.8,17.1,21.8,32.3,9.7,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3b,1,07_28_1998,0.1,1,1,5,10,15.4,18.6,11,7.4,1.7,17.6,23.8,13.5,30.4,13.7,22.9,19.8,24.6,16.4,24,20.6,34.8,19.3,11.1,28.5,40.9,NF,16.6,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3b,2,07_28_1998,1,5,7,NF,6,19.2,19.8,11.9,7.6,3.7,22.5,24.5,13.8,29.3,17.2,24.5,23.4,27.7,15.3,21.1,21.8,37,20.7,12.7,28,37.7,NF,22.3,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3b,3,07_28_1998,2,10,0.5,NF,9,15.6,16.4,11.5,10.1,2.8,25.1,26.8,14.4,28.4,16.8,19.4,24.5,23.3,17,24.4,22.2,32.4,21.7,10.5,26.4,35.4,NF,27.3,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3c,1,07_28_1998,0.1,1,1,5,4,13.9,14.8,10.5,6.6,9.8,32.2,33.2,8.5,19.4,3.8,22.3,33.2,14,22.3,18.3,6.6,39.5,16,14.1,11.9,18.2,22.6,28.2,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3c,2,07_28_1998,1,1,1,6,5,15.6,15.5,9.2,10.5,14,37.2,29.5,7.2,20,5.3,19.9,29.6,24.6,19.6,17.6,6.5,35.5,11.4,15,12.2,8.3,17.6,30.2,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3c,3,07_28_1998,1,1,1,7.5,7,20.1,16,9.8,5.1,15.6,38,32.5,9.5,20.6,3.7,16.5,32,22.5,19.1,23,9.2,42.4,14.9,19.3,14.3,12,22.7,26.5,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1d,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.1,5.2,5.3,6,1.9,8.7,4.2,12.5,13,12.8,17.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1d,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,6.2,7.3,6.3,2.7,7.4,4.5,12.9,12.5,14,20,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1d,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.08,4.7,4.3,5,3.2,9.2,3.9,7.9,14.8,14.7,15.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1e,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.3,7.4,4,5.2,2.2,3.2,2.5,7.2,7.5,8.2,22,7.5,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1e,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.39,6.5,4.6,5.1,2.8,3.3,2.7,10.3,6.8,6.4,15.6,6.5,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1e,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.32,8,5,4.2,2.7,2.4,2.2,5.5,7.6,NA,20,5.5,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1f,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NF,0.53,0.15,11.6,6.7,3,4.3,13.9,6,8.1,7,6.6,17.9,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1f,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NF,0.39,0,8.9,5.5,3.4,2.1,13.5,6.2,4,8.4,3.8,NF,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1f,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NF,0.33,0.12,12.6,6.9,4,4.1,14.5,6.5,3.2,7.5,7.8,NF,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1g,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.5,0.72,0.2,5.5,7.2,3.7,1.4,13.8,1,10.1,7.5,4.9,19.6,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1g,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.6,0.66,0.23,3.9,6.1,4,1.4,10.7,2,8.7,8.9,6.6,15.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1g,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.8,0.6,0.25,4.8,6.5,5.4,3.1,9.5,1.9,11,8.5,6.9,15.8,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2d,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.56,0.34,5.5,3.3,3,NA,9.4,2.5,NF,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2d,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.71,0.53,5.6,3.9,5.1,NA,7.1,3,NF,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2d,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.44,0.55,4.6,3.4,3.8,NA,8.7,4.1,NF,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2e,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.6,0.6,0.62,1.1,5.1,4.6,6.3,12.6,0,6,9,6.6,7.2,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2e,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.5,0.6,0.52,7.5,5.7,5.2,6.4,9.9,2.5,3,7.1,6.1,6.6,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2e,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.74,0.64,1,7.2,4,7.3,11.6,2,5.2,8.2,5.5,5.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2f,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.5,NA,0.54,7,4.3,4.3,2.2,6.2,3.9,4.3,7.7,NA,13.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2f,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NF,NA,0.5,6.6,4.9,4.2,3,2.8,3.4,6,8,NA,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2f,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NF,NA,0.46,7.1,3.3,3.4,2.1,3.5,3.2,8,6.8,NA,NF,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2g,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.58,1,4.5,7.4,6.8,14.6,6.8,10.7,8.5,10.6,27.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2g,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.35,1,3.9,5.9,6.8,11.6,7.2,9.3,7.7,12.3,27.7,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2g,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.4,8.7,3.5,6.6,5.6,10,7.6,11,8.2,11.5,26.2,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3d,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.25,0.15,5.4,4.9,5.3,8.9,7.2,1.9,7.5,12.3,7.2,12.1,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3d,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.19,0.28,5.7,3.7,4,5.5,6.8,2.2,6.4,12.6,6.6,14.7,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3d,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.15,0.17,6.8,4.8,4.2,5.6,6.6,2.7,5.9,11.6,4,13.7,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3e,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NF,0,4.5,NA,2,3.2,20.9,2.2,2.3,7.5,NA,6.3,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3e,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.15,0,4,NA,1.8,2.6,21.2,0,3.2,8.2,NA,9.4,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3e,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.17,0,3.9,NA,3.5,2.1,19.1,1.5,3.5,7.5,NA,7.6,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3f,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.25,0.65,17.8,10,2.2,5.4,14.8,0,21,11.3,4,29.4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3f,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.23,0.56,14.7,7.2,2.3,6.8,15.2,1.1,18.3,7.1,1.1,26.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3f,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.45,0.46,19.6,8.3,2.4,4.9,16.1,2,20.6,5.8,4.1,23.5,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3g,1,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.33,0.13,5.7,6.5,2.8,3,7.5,2.2,15,6,11.1,14.2,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3g,2,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.34,0.18,6,5.3,2.3,2.5,9.2,1,14.2,5.9,9,12.9,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,3g,3,03_18_2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.25,0.33,5.2,4.3,2.3,3,10,0,15.8,NA,11.9,16.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1h,1,02_11_2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.1,40.9,NA,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1h,2,02_11_2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.3,38.3,NA,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
