ID,Site,SurveyDate,Surveyed.Elevation,TurtleHt,Elevation.m.NAVD88,Latitude,Longitude,Description,Type,Method,Vegetation
106,DingDarling,20210625,0.301,0.044,0.257,26.468201,-82.113304,Side Shot 6,SS,Leveling,"Black, Red"
107,DingDarling,20210625,0.309,0.044,0.265,NA,NA,Side Shot 7,SS,Leveling,"Black, Red"
108,DingDarling,20210625,0.3115,0.044,0.2675,26.468404,-82.113384,TurningPt 5,TP,Leveling,"Black, Red"
109,DingDarling,20210625,-0.3145,0,-0.3145,NA,NA,SS 8 Edge No Turtle,SS,Leveling,Red
110,DingDarling,20210625,-0.3945,0,-0.3945,NA,NA,Side Shot 9 No Turtle,SS,Leveling,Red
111,DingDarling,20210625,0.3055,0,0.3055,NA,NA,Side Shot 10 Edge Berm No Turtle,SS,Leveling,
112,RookeryBay,20210623,0.514,0,0.514,26.0276,-81.704,Marsh SET C,SET,Leveling,
113,RookeryBay,20210623,0.216,0,0.216,26.0276,-81.704,Marsh SET C Ground,SET GND,Leveling,
114,RookeryBay,20210623,0.438,0,0.438,26.0278,-81.704,Marsh SET B,SET,Leveling,
115,RookeryBay,20210623,0.182,0,0.182,26.0278,-81.704,Marsh SET B Ground,SET GND,Leveling,
116,RookeryBay,20210623,0.32,0.044,0.276,26.0279,-81.704,Marsh SET A,SET,Leveling,
117,RookeryBay,20210623,0.125,0,0.125,26.0279,-81.704,Marsh SET A Ground,SET GND,Leveling,
118,RookeryBay,20210623,1.281,0.044,1.237,26.02519,-81.711984,TurningPt 1,TP,Leveling,
119,RookeryBay,20210623,0.628,0.044,0.584,26.02542,-81.711407,TurningPt 2,TP,Leveling,
120,RookeryBay,20210623,0.325,0.044,0.281,26.025471,-81.711156,TurningPt 3,TP,Leveling,
121,RookeryBay,20210623,0.55,0,0.55,26.0255,-81.7109,Brackish SET C,SET,Leveling,
122,RookeryBay,20210623,0.357,0,0.357,26.0255,-81.7109,Brackish SET C Ground,SET GND,Leveling,
123,RookeryBay,20210623,0.694,0,0.694,26.0256,-81.7108,Brackish SET B,SET,Leveling,
124,RookeryBay,20210623,0.492,0,0.492,26.0256,-81.7108,Brackish SET B Ground,SET GND,Leveling,
125,RookeryBay,20210623,0.437,0.044,0.393,26.025606,-81.710795,TurningPt 4,TP,Leveling,
126,RookeryBay,20210623,0.71,0,0.71,26.0257,-81.7107,Brackish SET A,SET,Leveling,
127,RookeryBay,20210623,0.513,0,0.513,26.0257,-81.7107,Brackish SET A Ground,SET GND,Leveling,
128,RookeryBay,20210623,0.518,0.044,0.474,26.025562,-81.710838,TurningPt 5,TP,Leveling,
129,RookeryBay,20210623,0.301,0.044,0.257,26.025566,-81.710938,TurningPt 6,TP,Leveling,
130,RookeryBay,20210623,0.455,0.044,0.411,26.025489,-81.711262,TurningPt 7,TP,Leveling,
131,RookeryBay,20210623,1.064,0.044,1.02,26.025303,-81.711757,TurningPt 8,TP,Leveling,
132,RookeryBay,20210623,1.555,0,1.555,26.0254,-81.7122,CoastalScrub SET C,SET,Leveling,
133,RookeryBay,20210623,1.307,0,1.307,26.0254,-81.7122,CoastalScrub SET C Ground,SET GND,Leveling,
134,RookeryBay,20210623,1.232,0.044,1.188,26.02556,-81.712161,TurningPt 9,TP,Leveling,
135,RookeryBay,20210623,1.57,0,1.57,26.0256,-81.7125,CoastalScrub SET B,SET,Leveling,
136,RookeryBay,20210623,1.24,0,1.24,26.0256,-81.7125,CoastalScrub SET B Ground,SET GND,Leveling,
137,RookeryBay,20210623,1.533,0,1.533,26.0258,-81.7124,CoastalScrub SET A,SET,Leveling,
138,RookeryBay,20210623,1.401,0,1.401,26.0258,-81.7124,CoastalScrub SET A Ground,SET GND,Leveling,
139,RookeryBay,20210623,1.413,0.044,1.369,26.025464,-81.712371,TurningPt 10,TP,Leveling,
140,RookeryBay,20210623,1.457,0.044,1.413,26.025075,-81.712119,TurningPt 11,TP,Leveling,
141,RookeryBay,20210623,0.177,0,0.177,26.02763,-81.70393,ExtraPts,EP,PPK,
142,RookeryBay,20210623,0.1926,0,0.1926,26.02763,-81.70401,ExtraPts,EP,PPK,
143,RookeryBay,20210623,0.165,0,0.165,26.02762,-81.70412,ExtraPts,EP,PPK,
144,RookeryBay,20210623,0.3566,0,0.3566,26.02763,-81.70421,ExtraPts,EP,PPK,
145,RookeryBay,20210623,0.2372,0,0.2372,26.02764,-81.70424,ExtraPts,EP,PPK,
146,RookeryBay,20210623,0.1695,0,0.1695,26.02763,-81.70435,ExtraPts,EP,PPK,
147,RookeryBay,20210623,0.1544,0,0.1544,26.02764,-81.70448,ExtraPts,EP,PPK,
148,RookeryBay,20210623,0.2318,0,0.2318,26.02774,-81.70445,ExtraPts,EP,PPK,
149,RookeryBay,20210623,0.2206,0,0.2206,26.02774,-81.70442,ExtraPts,EP,PPK,
150,RookeryBay,20210623,0.1269,0,0.1269,26.02774,-81.70435,ExtraPts,EP,PPK,
151,RookeryBay,20210623,0.1525,0,0.1525,26.02774,-81.70425,ExtraPts,EP,PPK,
152,RookeryBay,20210623,0.1665,0,0.1665,26.02776,-81.70409,ExtraPts,EP,PPK,
153,RookeryBay,20210623,0.1907,0,0.1907,26.0278,-81.70411,ExtraPts,EP,PPK,
154,RookeryBay,20210623,0.1826,0,0.1826,26.02782,-81.70419,ExtraPts,EP,PPK,
155,RookeryBay,20210623,0.1687,0,0.1687,26.0279,-81.70429,ExtraPts,EP,PPK,
156,RookeryBay,20210623,0.162,0,0.162,26.02798,-81.70421,ExtraPts,EP,PPK,
157,RookeryBay,20210623,0.2745,0,0.2745,26.02798,-81.70414,ExtraPts,EP,PPK,
158,RookeryBay,20210623,0.1652,0,0.1652,26.02814,-81.70425,ExtraPts,EP,PPK,
159,RookeryBay,20210623,0.1508,0,0.1508,26.02808,-81.70408,ExtraPts,EP,PPK,
160,RookeryBay,20210623,0.2423,0,0.2423,26.02799,-81.70407,ExtraPts,EP,PPK,
161,RookeryBay,20210623,0.171,0,0.171,26.02788,-81.70392,ExtraPts,EP,PPK,
162,RookeryBay,20210623,0.2914,0,0.2914,26.0278,-81.70389,ExtraPts,EP,PPK,
163,RookeryBay,20210623,0.1915,0,0.1915,26.02777,-81.70379,ExtraPts,EP,PPK,
164,RookeryBay,20210623,0.1074,0,0.1074,26.02768,-81.70367,ExtraPts,EP,PPK,
165,RookeryBay,20210623,0.1644,0,0.1644,26.02752,-81.70369,ExtraPts,EP,PPK,
166,RookeryBay,20210623,0.1764,0,0.1764,26.02748,-81.7038,ExtraPts,EP,PPK,
167,RookeryBay,20210623,0.1963,0,0.1963,26.02748,-81.70391,ExtraPts,EP,PPK,
168,RookeryBay,20210623,0.1773,0,0.1773,26.02744,-81.70384,ExtraPts,EP,PPK,
169,RookeryBay,20210623,0.223,0,0.223,26.02748,-81.70409,ExtraPts,EP,PPK,
170,RookeryBay,20210623,0.1716,0,0.1716,26.02788,-81.70421,ExtraPts,EP,PPK,
171,RookeryBay,20210623,0.1068,0,0.1068,26.02793,-81.70439,ExtraPts,EP,PPK,
172,RookeryBay,20210623,0.2192,0,0.2192,26.02793,-81.70446,ExtraPts,EP,PPK,
173,RookeryBay,20210623,0.1634,0,0.1634,26.02792,-81.70449,ExtraPts,EP,PPK,
174,RookeryBay,20210623,0.2357,0,0.2357,26.02792,-81.70451,ExtraPts,EP,PPK,
175,RookeryBay,20210623,0.1466,0,0.1466,26.02793,-81.70458,ExtraPts,EP,PPK,
176,RookeryBay,20210623,0.2273,0,0.2273,26.02777,-81.70455,ExtraPts,EP,PPK,
177,RookeryBay,20210623,0.1836,0,0.1836,26.0277,-81.70458,ExtraPts,EP,PPK,
178,RookeryBay,20210623,0.1386,0,0.1386,26.02768,-81.70468,ExtraPts,EP,PPK,
179,RookeryBay,20210623,0.2067,0,0.2067,26.02754,-81.70464,ExtraPts,EP,PPK,
180,RookeryBay,20210623,0.1484,0,0.1484,26.02757,-81.70453,ExtraPts,EP,PPK,
181,RookeryBay,20210623,1.5918,0,1.5918,26.02493,-81.71245,ExtraPts,EP,PPK,
182,RookeryBay,20210623,1.5413,0,1.5413,26.02499,-81.71236,ExtraPts,EP,PPK,
183,RookeryBay,20210623,1.392,0,1.392,26.02507,-81.7122,ExtraPts,EP,PPK,
184,RookeryBay,20210623,1.017,0,1.017,26.02523,-81.71181,ExtraPts,EP,PPK,
185,RookeryBay,20210623,0.2701,0,0.2701,26.02546,-81.71097,ExtraPts,EP,PPK,
186,RookeryBay,20210623,0.4178,0,0.4178,26.02544,-81.71092,ExtraPts,EP,PPK,
187,RookeryBay,20210623,0.2696,0,0.2696,26.02553,-81.71079,ExtraPts,EP,PPK,
188,RookeryBay,20210623,0.4767,0,0.4767,26.0256,-81.71076,ExtraPts,EP,PPK,
189,RookeryBay,20210623,0.439,0,0.439,26.02573,-81.7107,ExtraPts,EP,PPK,
190,RookeryBay,20210623,0.566,0,0.566,26.02552,-81.71122,ExtraPts,EP,PPK,
191,RookeryBay,20210623,0.9052,0,0.9052,26.02538,-81.71161,ExtraPts,EP,PPK,
192,RookeryBay,20210623,1.0489,0,1.0489,26.02537,-81.71178,ExtraPts,EP,PPK,
193,RookeryBay,20210623,1.3005,0,1.3005,26.02545,-81.71221,ExtraPts,EP,PPK,
194,RookeryBay,20210623,1.1582,0,1.1582,26.02555,-81.71221,ExtraPts,EP,PPK,
195,RookeryBay,20210623,1.3478,0,1.3478,26.02549,-81.71238,ExtraPts,EP,PPK,
196,RookeryBay,20210623,1.1942,0,1.1942,26.0257,-81.71236,ExtraPts,EP,PPK,
197,RookeryBay,20210623,1.2755,0,1.2755,26.02573,-81.71245,ExtraPts,EP,PPK,
198,RookeryBay,20210623,1.4143,0,1.4143,26.02522,-81.71226,ExtraPts,EP,PPK,
199,RookeryBay,20210623,1.5937,0,1.5937,26.02514,-81.71234,ExtraPts,EP,PPK,
200,RookeryBay,20210623,1.6497,0,1.6497,26.0251,-81.71235,ExtraPts,EP,PPK,
201,RookeryBay,20210623,1.5236,0,1.5236,26.02504,-81.71233,ExtraPts,EP,PPK,
202,RookeryBay,20210623,1.6146,0,1.6146,26.02497,-81.71231,ExtraPts,EP,PPK,
203,RookeryBay,20210623,1.5255,0,1.5255,26.02491,-81.71227,ExtraPts,EP,PPK,
204,RookeryBay,20210623,1.6233,0,1.6233,26.02488,-81.71221,ExtraPts,EP,PPK,
205,RookeryBay,20210623,1.6354,0,1.6354,26.02494,-81.71207,ExtraPts,EP,PPK,
206,RookeryBay,20210623,1.5291,0,1.5291,26.02491,-81.71204,ExtraPts,EP,PPK,
207,RookeryBay,20210623,1.3667,0,1.3667,26.02495,-81.71191,ExtraPts,EP,PPK,
208,RookeryBay,20210623,1.3887,0,1.3887,26.02493,-81.71178,ExtraPts,EP,PPK,
209,RookeryBay,20210623,1.1799,0,1.1799,26.02511,-81.71179,ExtraPts,EP,PPK,
210,RookeryBay,20210623,1.1057,0,1.1057,26.02505,-81.71161,ExtraPts,EP,PPK,
211,RookeryBay,20210623,1.5786,0,1.5786,26.02489,-81.71218,ExtraPts,EP,PPK,
212,RookeryBay,20210623,1.5409,0,1.5409,26.025,-81.71222,ExtraPts,EP,PPK,
213,RookeryBay,20210623,1.4767,0,1.4767,26.02501,-81.71232,ExtraPts,EP,PPK,
214,RookeryBay,20210623,1.6886,0,1.6886,26.0249,-81.71253,ExtraPts,EP,PPK,
215,RookeryBay,20210623,1.7343,0,1.7343,26.02482,-81.71269,ExtraPts,EP,PPK,
216,RookeryBay,20210623,1.8404,0,1.8404,26.0248,-81.71282,ExtraPts,EP,PPK,
217,RookeryBay,20210623,1.6369,0,1.6369,26.02481,-81.71297,ExtraPts,EP,PPK,
218,RookeryBay,20210623,1.8161,0,1.8161,26.02477,-81.71288,ExtraPts,EP,PPK,
219,RookeryBay,20210623,1.8528,0,1.8528,26.02472,-81.71282,ExtraPts,EP,PPK,
220,RookeryBay,20210623,1.8612,0,1.8612,26.02466,-81.71276,ExtraPts,EP,PPK,
221,RookeryBay,20210623,1.9841,0,1.9841,26.0246,-81.71273,ExtraPts,EP,PPK,
222,RookeryBay,20210623,1.8694,0,1.8694,26.02457,-81.71264,ExtraPts,EP,PPK,
223,RookeryBay,20210623,1.95,0,1.95,26.02457,-81.71258,ExtraPts,EP,PPK,
224,RookeryBay,20210623,1.9339,0,1.9339,26.02452,-81.71251,ExtraPts,EP,PPK,
225,RookeryBay,20210623,1.8988,0,1.8988,26.0245,-81.71244,ExtraPts,EP,PPK,
226,RookeryBay,20210623,1.8078,0,1.8078,26.02455,-81.71237,ExtraPts,EP,PPK,
227,RookeryBay,20210623,1.6579,0,1.6579,26.02459,-81.71235,ExtraPts,EP,PPK,
228,RookeryBay,20210621,0.529,0.044,0.485,NA,NA,TurningPt 1,TP,Leveling,
229,RookeryBay,20210621,0.187,0.044,0.143,NA,NA,TurningPt 2,TP,Leveling,
230,RookeryBay,20210621,0.49,0,0.49,26.0224,-81.7343,Mangrove SET A,SET,Leveling,
231,RookeryBay,20210621,0.378,0.044,0.334,NA,NA,TurningPt 3,TP,Leveling,
232,RookeryBay,20210621,0.421,0,0.421,26.0222,-81.7342,Mangrove SET B,SET,Leveling,
233,RookeryBay,20210621,0.234,0,0.234,26.0222,-81.7342,Mangrove SET B Ground,SET GND,Leveling,
234,RookeryBay,20210621,0.238,0.044,0.194,NA,NA,TurningPt 4,TP,Leveling,
235,RookeryBay,20210621,0.736,0.044,0.692,NA,NA,TurningPt 5,TP,Leveling,
236,RookeryBay,20210621,0.548,0.044,0.504,NA,NA,TurningPt 1,TP,Leveling,
237,RookeryBay,20210621,0.254,0.044,0.21,NA,NA,TurningPt 2,TP,Leveling,
238,RookeryBay,20210621,0.436,0,0.436,26.022,-81.7341,Mangrove SET C,SET,Leveling,
239,RookeryBay,20210621,0.261,0,0.261,26.022,-81.7341,Mangrove SET C Ground,SET GND,Leveling,
240,RookeryBay,20210621,0.277,0.044,0.233,NA,NA,Side Shot 5,SS,Leveling,
241,RookeryBay,20210621,0.251,0.044,0.207,NA,NA,Side Shot 6,SS,Leveling,
242,RookeryBay,20210621,0.254,0.044,0.21,NA,NA,TurningPt 3,TP,Leveling,
243,RookeryBay,20210621,0.421,0.044,0.377,NA,NA,TurningPt 4,TP,Leveling,
244,ClamBay,20210622,1.641,0.044,1.597,NA,NA,TurningPt 1,TP,Leveling,
245,ClamBay,20210622,0.224,0.044,0.18,NA,NA,TurningPt 2,TP,Leveling,
246,ClamBay,20210622,0.181,0.044,0.137,NA,NA,TurningPt 3,TP,Leveling,
247,ClamBay,20210622,0.222,0.044,0.178,NA,NA,TurningPt 4,TP,Leveling,
248,ClamBay,20210622,0.468,0,0.468,26.222943,-81.817281,SET 1 ,SET,Leveling,
249,ClamBay,20210622,0.172,0,0.172,26.222943,-81.817281,SET 1 Ground,SET GND,Leveling,
250,ClamBay,20210622,0.235,0.044,0.191,26.222627,-81.8173,Side Shot 3,SS,Leveling,
251,ClamBay,20210622,0.217,0.044,0.173,26.22248,-81.817264,TurningPt 6,TP,Leveling,
252,ClamBay,20210622,0.22,0.044,0.176,26.222453,-81.817149,TurningPt 7,TP,Leveling,
253,ClamBay,20210622,0.222,0.044,0.178,26.222393,-81.817018,TurningPt 8,TP,Leveling,
254,ClamBay,20210622,0.235,0.044,0.191,26.222549,-81.816885,TurningPt 9,TP,Leveling,
255,ClamBay,20210622,0.187,0,0.187,26.22264,-81.81676,"Side Shot 4, Near Channel",SS,Leveling,
256,ClamBay,20210622,-0.24,0,-0.24,26.222616,-81.816664,"Side Shot 5, Edge of Channel",SS,Leveling,
257,ClamBay,20210622,0.18,0.044,0.136,26.222817,-81.816825,TurningPt 10,TP,Leveling,
258,ClamBay,20210622,0.169,0.044,0.125,26.222849,-81.817034,TurningPt 11,TP,Leveling,
259,ClamBay,20210622,0.233,0.044,0.189,26.222789,-81.817275,TurningPt 12,TP,Leveling,
260,ClamBay,20210622,0.213,0.044,0.169,26.222763,-81.81762,TurningPt 13,TP,Leveling,
261,ClamBay,20210622,0.17,0.044,0.126,26.222586,-81.817783,TurningPt 14,TP,Leveling,
262,ClamBay,20210622,1.153,0.044,1.109,26.222458,-81.817985,TurningPt 15,TP,Leveling,
263,ClamBay,20210622,0.9556,0.044,0.9116,26.223133,-81.818255,TurningPt 1,TP,Leveling,
