refuge,site,SET,azi,pin,pin_length_mm,date,pinvalue_mm,navd88_arm_mm,navd88_pinvalue_mm,date_numeric
Anahuac,Alice Jackson White,SET 1,183,2,916,2014-06-03,402,675.7,161.7,0.00
Anahuac,Alice Jackson White,SET 1,183,2,916,2014-12-09,404,675.7,163.7,0.52
Anahuac,Alice Jackson White,SET 1,183,2,916,2015-04-20,404,675.7,163.7,0.88
Anahuac,Alice Jackson White,SET 1,183,2,916,2015-08-28,409,675.7,168.7,1.23
Anahuac,Alice Jackson White,SET 1,183,2,916,2016-04-08,307,675.7,66.7,1.85
Anahuac,Alice Jackson White,SET 1,183,2,916,2016-10-06,306,675.7,65.7,2.34
Anahuac,Alice Jackson White,SET 1,183,2,916,2018-04-02,444,675.7,203.7,3.83
Anahuac,Alice Jackson White,SET 1,183,2,916,2018-12-06,430,675.7,189.7,4.51
Anahuac,Alice Jackson White,SET 1,183,2,916,2019-04-12,430,675.7,189.7,4.86
Anahuac,Alice Jackson White,SET 1,183,2,916,2019-11-19,427,675.7,186.7,5.46
Anahuac,Alice Jackson White,SET 1,270,2,916,2014-06-03,441,675.7,200.7,0.00
Anahuac,Alice Jackson White,SET 1,270,2,916,2014-12-09,348,675.7,107.7,0.52
Anahuac,Alice Jackson White,SET 1,270,2,916,2015-04-20,312,675.7,71.7,0.88
Anahuac,Alice Jackson White,SET 1,270,2,916,2015-08-28,NA,675.7,NA,1.23
Anahuac,Alice Jackson White,SET 1,270,2,916,2016-04-08,387,675.7,146.7,1.85
Anahuac,Alice Jackson White,SET 1,270,2,916,2016-10-06,369,675.7,128.7,2.34
Anahuac,Alice Jackson White,SET 1,270,2,916,2018-04-02,432,675.7,191.7,3.83
Anahuac,Alice Jackson White,SET 1,270,2,916,2018-12-06,428,675.7,187.7,4.51
Anahuac,Alice Jackson White,SET 1,270,2,916,2019-04-12,411,675.7,170.7,4.86
Anahuac,Alice Jackson White,SET 1,270,2,916,2019-11-19,414,675.7,173.7,5.46
Anahuac,Alice Jackson White,SET 1,1,3,915,2014-06-03,433,675.7,193.7,0.00
Anahuac,Alice Jackson White,SET 1,1,3,915,2014-12-09,394,675.7,154.7,0.52
Anahuac,Alice Jackson White,SET 1,1,3,915,2015-04-20,405,675.7,165.7,0.88
Anahuac,Alice Jackson White,SET 1,1,3,915,2015-08-28,394,675.7,154.7,1.23
Anahuac,Alice Jackson White,SET 1,1,3,915,2016-04-08,393,675.7,153.7,1.85
Anahuac,Alice Jackson White,SET 1,1,3,915,2016-10-06,398,675.7,158.7,2.34
Anahuac,Alice Jackson White,SET 1,1,3,915,2018-04-02,391,675.7,151.7,3.83
Anahuac,Alice Jackson White,SET 1,1,3,915,2018-12-06,419,675.7,179.7,4.51
Anahuac,Alice Jackson White,SET 1,1,3,915,2019-04-12,404,675.7,164.7,4.86
Anahuac,Alice Jackson White,SET 1,1,3,915,2019-11-19,438,675.7,198.7,5.46
Anahuac,Alice Jackson White,SET 1,83,3,914,2014-06-03,425,675.7,186.7,0.00
Anahuac,Alice Jackson White,SET 1,83,3,914,2014-12-09,415,675.7,176.7,0.52
Anahuac,Alice Jackson White,SET 1,83,3,914,2015-04-20,410,675.7,171.7,0.88
Anahuac,Alice Jackson White,SET 1,83,3,914,2015-08-28,417,675.7,178.7,1.23
Anahuac,Alice Jackson White,SET 1,83,3,914,2016-04-08,413,675.7,174.7,1.85
Anahuac,Alice Jackson White,SET 1,83,3,914,2016-10-06,425,675.7,186.7,2.34
Anahuac,Alice Jackson White,SET 1,83,3,914,2018-04-02,384,675.7,145.7,3.83
Anahuac,Alice Jackson White,SET 1,83,3,914,2018-12-06,398,675.7,159.7,4.51
Anahuac,Alice Jackson White,SET 1,83,3,914,2019-04-12,404,675.7,165.7,4.86
Anahuac,Alice Jackson White,SET 1,83,3,914,2019-11-19,406,675.7,167.7,5.46
Anahuac,Alice Jackson White,SET 1,183,3,914,2014-06-03,404,675.7,165.7,0.00
Anahuac,Alice Jackson White,SET 1,183,3,914,2014-12-09,404,675.7,165.7,0.52
Anahuac,Alice Jackson White,SET 1,183,3,914,2015-04-20,365,675.7,126.7,0.88
Anahuac,Alice Jackson White,SET 1,183,3,914,2015-08-28,414,675.7,175.7,1.23
Anahuac,Alice Jackson White,SET 1,183,3,914,2016-04-08,315,675.7,76.7,1.85
Anahuac,Alice Jackson White,SET 1,183,3,914,2016-10-06,314,675.7,75.7,2.34
Anahuac,Alice Jackson White,SET 1,183,3,914,2018-04-02,422,675.7,183.7,3.83
Anahuac,Alice Jackson White,SET 1,183,3,914,2018-12-06,434,675.7,195.7,4.51
Anahuac,Alice Jackson White,SET 1,183,3,914,2019-04-12,428,675.7,189.7,4.86
Anahuac,Alice Jackson White,SET 1,183,3,914,2019-11-19,425,675.7,186.7,5.46
Anahuac,Alice Jackson White,SET 1,270,3,915,2014-06-03,446,675.7,206.7,0.00
Anahuac,Alice Jackson White,SET 1,270,3,915,2014-12-09,354,675.7,114.7,0.52
Anahuac,Alice Jackson White,SET 1,270,3,915,2015-04-20,325,675.7,85.7,0.88
Anahuac,Alice Jackson White,SET 1,270,3,915,2015-08-28,NA,675.7,NA,1.23
Anahuac,Alice Jackson White,SET 1,270,3,915,2016-04-08,393,675.7,153.7,1.85
Anahuac,Alice Jackson White,SET 1,270,3,915,2016-10-06,390,675.7,150.7,2.34
Anahuac,Alice Jackson White,SET 1,270,3,915,2018-04-02,436,675.7,196.7,3.83
Anahuac,Alice Jackson White,SET 1,270,3,915,2018-12-06,395,675.7,155.7,4.51
Anahuac,Alice Jackson White,SET 1,270,3,915,2019-04-12,421,675.7,181.7,4.86
Anahuac,Alice Jackson White,SET 1,270,3,915,2019-11-19,422,675.7,182.7,5.46
Anahuac,Alice Jackson White,SET 1,1,4,915,2014-06-03,438,675.7,198.7,0.00
Anahuac,Alice Jackson White,SET 1,1,4,915,2014-12-09,419,675.7,179.7,0.52
Anahuac,Alice Jackson White,SET 1,1,4,915,2015-04-20,397,675.7,157.7,0.88
Anahuac,Alice Jackson White,SET 1,1,4,915,2015-08-28,392,675.7,152.7,1.23
Anahuac,Alice Jackson White,SET 1,1,4,915,2016-04-08,396,675.7,156.7,1.85
Anahuac,Alice Jackson White,SET 1,1,4,915,2016-10-06,395,675.7,155.7,2.34
Anahuac,Alice Jackson White,SET 1,1,4,915,2018-04-02,390,675.7,150.7,3.83
Anahuac,Alice Jackson White,SET 1,1,4,915,2018-12-06,388,675.7,148.7,4.51
Anahuac,Alice Jackson White,SET 1,1,4,915,2019-04-12,404,675.7,164.7,4.86
Anahuac,Alice Jackson White,SET 1,1,4,915,2019-11-19,438,675.7,198.7,5.46
Anahuac,Alice Jackson White,SET 1,83,4,915,2014-06-03,432,675.7,192.7,0.00
Anahuac,Alice Jackson White,SET 1,83,4,915,2014-12-09,390,675.7,150.7,0.52
Anahuac,Alice Jackson White,SET 1,83,4,915,2015-04-20,387,675.7,147.7,0.88
Anahuac,Alice Jackson White,SET 1,83,4,915,2015-08-28,390,675.7,150.7,1.23
Anahuac,Alice Jackson White,SET 1,83,4,915,2016-04-08,388,675.7,148.7,1.85
Anahuac,Alice Jackson White,SET 1,83,4,915,2016-10-06,399,675.7,159.7,2.34
Anahuac,Alice Jackson White,SET 1,83,4,915,2018-04-02,396,675.7,156.7,3.83
Anahuac,Alice Jackson White,SET 1,83,4,915,2018-12-06,395,675.7,155.7,4.51
Anahuac,Alice Jackson White,SET 1,83,4,915,2019-04-12,388,675.7,148.7,4.86
Anahuac,Alice Jackson White,SET 1,83,4,915,2019-11-19,394,675.7,154.7,5.46
Anahuac,Alice Jackson White,SET 1,183,4,915,2014-06-03,430,675.7,190.7,0.00
Anahuac,Alice Jackson White,SET 1,183,4,915,2014-12-09,401,675.7,161.7,0.52
Anahuac,Alice Jackson White,SET 1,183,4,915,2015-04-20,355,675.7,115.7,0.88
Anahuac,Alice Jackson White,SET 1,183,4,915,2015-08-28,411,675.7,171.7,1.23
Anahuac,Alice Jackson White,SET 1,183,4,915,2016-04-08,346,675.7,106.7,1.85
Anahuac,Alice Jackson White,SET 1,183,4,915,2016-10-06,337,675.7,97.7,2.34
Anahuac,Alice Jackson White,SET 1,183,4,915,2018-04-02,394,675.7,154.7,3.83
Anahuac,Alice Jackson White,SET 1,183,4,915,2018-12-06,431,675.7,191.7,4.51
Anahuac,Alice Jackson White,SET 1,183,4,915,2019-04-12,413,675.7,173.7,4.86
Anahuac,Alice Jackson White,SET 1,183,4,915,2019-11-19,426,675.7,186.7,5.46
Anahuac,Alice Jackson White,SET 1,270,4,915,2014-06-03,437,675.7,197.7,0.00
Anahuac,Alice Jackson White,SET 1,270,4,915,2014-12-09,373,675.7,133.7,0.52
Anahuac,Alice Jackson White,SET 1,270,4,915,2015-04-20,363,675.7,123.7,0.88
Anahuac,Alice Jackson White,SET 1,270,4,915,2015-08-28,390,675.7,150.7,1.23
Anahuac,Alice Jackson White,SET 1,270,4,915,2016-04-08,368,675.7,128.7,1.85
Anahuac,Alice Jackson White,SET 1,270,4,915,2016-10-06,368,675.7,128.7,2.34
Anahuac,Alice Jackson White,SET 1,270,4,915,2018-04-02,410,675.7,170.7,3.83
Anahuac,Alice Jackson White,SET 1,270,4,915,2018-12-06,422,675.7,182.7,4.51
Anahuac,Alice Jackson White,SET 1,270,4,915,2019-04-12,414,675.7,174.7,4.86
Anahuac,Alice Jackson White,SET 1,270,4,915,2019-11-19,417,675.7,177.7,5.46
Anahuac,Alice Jackson White,SET 1,1,5,915,2014-06-03,440,675.7,200.7,0.00
Anahuac,Alice Jackson White,SET 1,1,5,915,2014-12-09,379,675.7,139.7,0.52
Anahuac,Alice Jackson White,SET 1,1,5,915,2015-04-20,377,675.7,137.7,0.88
Anahuac,Alice Jackson White,SET 1,1,5,915,2015-08-28,392,675.7,152.7,1.23
Anahuac,Alice Jackson White,SET 1,1,5,915,2016-04-08,399,675.7,159.7,1.85
Anahuac,Alice Jackson White,SET 1,1,5,915,2016-10-06,401,675.7,161.7,2.34
Anahuac,Alice Jackson White,SET 1,1,5,915,2018-04-02,389,675.7,149.7,3.83
Anahuac,Alice Jackson White,SET 1,1,5,915,2018-12-06,405,675.7,165.7,4.51
Anahuac,Alice Jackson White,SET 1,1,5,915,2019-04-12,409,675.7,169.7,4.86
Anahuac,Alice Jackson White,SET 1,1,5,915,2019-11-19,426,675.7,186.7,5.46
Anahuac,Alice Jackson White,SET 1,83,5,915,2014-06-03,416,675.7,176.7,0.00
Anahuac,Alice Jackson White,SET 1,83,5,915,2014-12-09,400,675.7,160.7,0.52
Anahuac,Alice Jackson White,SET 1,83,5,915,2015-04-20,391,675.7,151.7,0.88
Anahuac,Alice Jackson White,SET 1,83,5,915,2015-08-28,372,675.7,132.7,1.23
Anahuac,Alice Jackson White,SET 1,83,5,915,2016-04-08,401,675.7,161.7,1.85
Anahuac,Alice Jackson White,SET 1,83,5,915,2016-10-06,390,675.7,150.7,2.34
Anahuac,Alice Jackson White,SET 1,83,5,915,2018-04-02,400,675.7,160.7,3.83
Anahuac,Alice Jackson White,SET 1,83,5,915,2018-12-06,393,675.7,153.7,4.51
Anahuac,Alice Jackson White,SET 1,83,5,915,2019-04-12,378,675.7,138.7,4.86
Anahuac,Alice Jackson White,SET 1,83,5,915,2019-11-19,395,675.7,155.7,5.46
Anahuac,Alice Jackson White,SET 1,183,5,915,2014-06-03,408,675.7,168.7,0.00
Anahuac,Alice Jackson White,SET 1,183,5,915,2014-12-09,391,675.7,151.7,0.52
Anahuac,Alice Jackson White,SET 1,183,5,915,2015-04-20,378,675.7,138.7,0.88
Anahuac,Alice Jackson White,SET 1,183,5,915,2015-08-28,409,675.7,169.7,1.23
Anahuac,Alice Jackson White,SET 1,183,5,915,2016-04-08,386,675.7,146.7,1.85
Anahuac,Alice Jackson White,SET 1,183,5,915,2016-10-06,376,675.7,136.7,2.34
Anahuac,Alice Jackson White,SET 1,183,5,915,2018-04-02,404,675.7,164.7,3.83
Anahuac,Alice Jackson White,SET 1,183,5,915,2018-12-06,421,675.7,181.7,4.51
Anahuac,Alice Jackson White,SET 1,183,5,915,2019-04-12,407,675.7,167.7,4.86
Anahuac,Alice Jackson White,SET 1,183,5,915,2019-11-19,427,675.7,187.7,5.46
Anahuac,Alice Jackson White,SET 1,270,5,915,2014-06-03,450,675.7,210.7,0.00
Anahuac,Alice Jackson White,SET 1,270,5,915,2014-12-09,386,675.7,146.7,0.52
Anahuac,Alice Jackson White,SET 1,270,5,915,2015-04-20,384,675.7,144.7,0.88
Anahuac,Alice Jackson White,SET 1,270,5,915,2015-08-28,427,675.7,187.7,1.23
Anahuac,Alice Jackson White,SET 1,270,5,915,2016-04-08,385,675.7,145.7,1.85
Anahuac,Alice Jackson White,SET 1,270,5,915,2016-10-06,376,675.7,136.7,2.34
Anahuac,Alice Jackson White,SET 1,270,5,915,2018-04-02,403,675.7,163.7,3.83
Anahuac,Alice Jackson White,SET 1,270,5,915,2018-12-06,415,675.7,175.7,4.51
Anahuac,Alice Jackson White,SET 1,270,5,915,2019-04-12,403,675.7,163.7,4.86
Anahuac,Alice Jackson White,SET 1,270,5,915,2019-11-19,406,675.7,166.7,5.46
Anahuac,Alice Jackson White,SET 1,1,6,915,2014-06-03,427,675.7,187.7,0.00
Anahuac,Alice Jackson White,SET 1,1,6,915,2014-12-09,376,675.7,136.7,0.52
Anahuac,Alice Jackson White,SET 1,1,6,915,2015-04-20,408,675.7,168.7,0.88
Anahuac,Alice Jackson White,SET 1,1,6,915,2015-08-28,414,675.7,174.7,1.23
Anahuac,Alice Jackson White,SET 1,1,6,915,2016-04-08,NA,675.7,NA,1.85
Anahuac,Alice Jackson White,SET 1,1,6,915,2016-10-06,370,675.7,130.7,2.34
Anahuac,Alice Jackson White,SET 1,1,6,915,2018-04-02,392,675.7,152.7,3.83
Anahuac,Alice Jackson White,SET 1,1,6,915,2018-12-06,396,675.7,156.7,4.51
Anahuac,Alice Jackson White,SET 1,1,6,915,2019-04-12,411,675.7,171.7,4.86
Anahuac,Alice Jackson White,SET 1,1,6,915,2019-11-19,422,675.7,182.7,5.46
Anahuac,Alice Jackson White,SET 1,83,6,915,2014-06-03,423,675.7,183.7,0.00
Anahuac,Alice Jackson White,SET 1,83,6,915,2014-12-09,385,675.7,145.7,0.52
Anahuac,Alice Jackson White,SET 1,83,6,915,2015-04-20,381,675.7,141.7,0.88
Anahuac,Alice Jackson White,SET 1,83,6,915,2015-08-28,388,675.7,148.7,1.23
Anahuac,Alice Jackson White,SET 1,83,6,915,2016-04-08,395,675.7,155.7,1.85
Anahuac,Alice Jackson White,SET 1,83,6,915,2016-10-06,387,675.7,147.7,2.34
Anahuac,Alice Jackson White,SET 1,83,6,915,2018-04-02,408,675.7,168.7,3.83
Anahuac,Alice Jackson White,SET 1,83,6,915,2018-12-06,398,675.7,158.7,4.51
Anahuac,Alice Jackson White,SET 1,83,6,915,2019-04-12,395,675.7,155.7,4.86
Anahuac,Alice Jackson White,SET 1,83,6,915,2019-11-19,402,675.7,162.7,5.46
Anahuac,Alice Jackson White,SET 1,183,6,915,2014-06-03,378,675.7,138.7,0.00
Anahuac,Alice Jackson White,SET 1,183,6,915,2014-12-09,434,675.7,194.7,0.52
Anahuac,Alice Jackson White,SET 1,183,6,915,2015-04-20,407,675.7,167.7,0.88
Anahuac,Alice Jackson White,SET 1,183,6,915,2015-08-28,412,675.7,172.7,1.23
Anahuac,Alice Jackson White,SET 1,183,6,915,2016-04-08,391,675.7,151.7,1.85
Anahuac,Alice Jackson White,SET 1,183,6,915,2016-10-06,413,675.7,173.7,2.34
Anahuac,Alice Jackson White,SET 1,183,6,915,2018-04-02,404,675.7,164.7,3.83
Anahuac,Alice Jackson White,SET 1,183,6,915,2018-12-06,413,675.7,173.7,4.51
Anahuac,Alice Jackson White,SET 1,183,6,915,2019-04-12,412,675.7,172.7,4.86
Anahuac,Alice Jackson White,SET 1,183,6,915,2019-11-19,413,675.7,173.7,5.46
Anahuac,Alice Jackson White,SET 1,270,6,915,2014-06-03,444,675.7,204.7,0.00
Anahuac,Alice Jackson White,SET 1,270,6,915,2014-12-09,400,675.7,160.7,0.52
Anahuac,Alice Jackson White,SET 1,270,6,915,2015-04-20,403,675.7,163.7,0.88
Anahuac,Alice Jackson White,SET 1,270,6,915,2015-08-28,410,675.7,170.7,1.23
Anahuac,Alice Jackson White,SET 1,270,6,915,2016-04-08,364,675.7,124.7,1.85
Anahuac,Alice Jackson White,SET 1,270,6,915,2016-10-06,376,675.7,136.7,2.34
Anahuac,Alice Jackson White,SET 1,270,6,915,2018-04-02,400,675.7,160.7,3.83
Anahuac,Alice Jackson White,SET 1,270,6,915,2018-12-06,409,675.7,169.7,4.51
Anahuac,Alice Jackson White,SET 1,270,6,915,2019-04-12,418,675.7,178.7,4.86
Anahuac,Alice Jackson White,SET 1,270,6,915,2019-11-19,421,675.7,181.7,5.46
Anahuac,Alice Jackson White,SET 1,1,7,915,2014-06-03,431,675.7,191.7,0.00
Anahuac,Alice Jackson White,SET 1,1,7,915,2014-12-09,342,675.7,102.7,0.52
Anahuac,Alice Jackson White,SET 1,1,7,915,2015-04-20,395,675.7,155.7,0.88
Anahuac,Alice Jackson White,SET 1,1,7,915,2015-08-28,396,675.7,156.7,1.23
Anahuac,Alice Jackson White,SET 1,1,7,915,2016-04-08,403,675.7,163.7,1.85
Anahuac,Alice Jackson White,SET 1,1,7,915,2016-10-06,399,675.7,159.7,2.34
Anahuac,Alice Jackson White,SET 1,1,7,915,2018-04-02,387,675.7,147.7,3.83
Anahuac,Alice Jackson White,SET 1,1,7,915,2018-12-06,404,675.7,164.7,4.51
Anahuac,Alice Jackson White,SET 1,1,7,915,2019-04-12,416,675.7,176.7,4.86
Anahuac,Alice Jackson White,SET 1,1,7,915,2019-11-19,422,675.7,182.7,5.46
Anahuac,Alice Jackson White,SET 1,83,7,916,2014-06-03,423,675.7,182.7,0.00
Anahuac,Alice Jackson White,SET 1,83,7,916,2014-12-09,404,675.7,163.7,0.52
Anahuac,Alice Jackson White,SET 1,83,7,916,2015-04-20,386,675.7,145.7,0.88
Anahuac,Alice Jackson White,SET 1,83,7,916,2015-08-28,409,675.7,168.7,1.23
Anahuac,Alice Jackson White,SET 1,83,7,916,2016-04-08,406,675.7,165.7,1.85
Anahuac,Alice Jackson White,SET 1,83,7,916,2016-10-06,405,675.7,164.7,2.34
Anahuac,Alice Jackson White,SET 1,83,7,916,2018-04-02,397,675.7,156.7,3.83
Anahuac,Alice Jackson White,SET 1,83,7,916,2018-12-06,382,675.7,141.7,4.51
Anahuac,Alice Jackson White,SET 1,83,7,916,2019-04-12,387,675.7,146.7,4.86
Anahuac,Alice Jackson White,SET 1,83,7,916,2019-11-19,398,675.7,157.7,5.46
Anahuac,Alice Jackson White,SET 1,183,7,916,2014-06-03,390,675.7,149.7,0.00
Anahuac,Alice Jackson White,SET 1,183,7,916,2014-12-09,415,675.7,174.7,0.52
Anahuac,Alice Jackson White,SET 1,183,7,916,2015-04-20,397,675.7,156.7,0.88
Anahuac,Alice Jackson White,SET 1,183,7,916,2015-08-28,414,675.7,173.7,1.23
Anahuac,Alice Jackson White,SET 1,183,7,916,2016-04-08,409,675.7,168.7,1.85
Anahuac,Alice Jackson White,SET 1,183,7,916,2016-10-06,420,675.7,179.7,2.34
Anahuac,Alice Jackson White,SET 1,183,7,916,2018-04-02,398,675.7,157.7,3.83
Anahuac,Alice Jackson White,SET 1,183,7,916,2018-12-06,405,675.7,164.7,4.51
Anahuac,Alice Jackson White,SET 1,183,7,916,2019-04-12,417,675.7,176.7,4.86
Anahuac,Alice Jackson White,SET 1,183,7,916,2019-11-19,418,675.7,177.7,5.46
Anahuac,Alice Jackson White,SET 1,270,7,915,2014-06-03,434,675.7,194.7,0.00
Anahuac,Alice Jackson White,SET 1,270,7,915,2014-12-09,429,675.7,189.7,0.52
Anahuac,Alice Jackson White,SET 1,270,7,915,2015-04-20,425,675.7,185.7,0.88
Anahuac,Alice Jackson White,SET 1,270,7,915,2015-08-28,413,675.7,173.7,1.23
Anahuac,Alice Jackson White,SET 1,270,7,915,2016-04-08,407,675.7,167.7,1.85
Anahuac,Alice Jackson White,SET 1,270,7,915,2016-10-06,395,675.7,155.7,2.34
Anahuac,Alice Jackson White,SET 1,270,7,915,2018-04-02,399,675.7,159.7,3.83
Anahuac,Alice Jackson White,SET 1,270,7,915,2018-12-06,409,675.7,169.7,4.51
Anahuac,Alice Jackson White,SET 1,270,7,915,2019-04-12,412,675.7,172.7,4.86
Anahuac,Alice Jackson White,SET 1,270,7,915,2019-11-19,411,675.7,171.7,5.46
Anahuac,Alice Jackson White,SET 1,1,8,915,2014-06-03,422,675.7,182.7,0.00
Anahuac,Alice Jackson White,SET 1,1,8,915,2014-12-09,401,675.7,161.7,0.52
Anahuac,Alice Jackson White,SET 1,1,8,915,2015-04-20,419,675.7,179.7,0.88
Anahuac,Alice Jackson White,SET 1,1,8,915,2015-08-28,391,675.7,151.7,1.23
Anahuac,Alice Jackson White,SET 1,1,8,915,2016-04-08,395,675.7,155.7,1.85
Anahuac,Alice Jackson White,SET 1,1,8,915,2016-10-06,394,675.7,154.7,2.34
Anahuac,Alice Jackson White,SET 1,1,8,915,2018-04-02,369,675.7,129.7,3.83
Anahuac,Alice Jackson White,SET 1,1,8,915,2018-12-06,397,675.7,157.7,4.51
Anahuac,Alice Jackson White,SET 1,1,8,915,2019-04-12,410,675.7,170.7,4.86
Anahuac,Alice Jackson White,SET 1,1,8,915,2019-11-19,429,675.7,189.7,5.46
Anahuac,Alice Jackson White,SET 1,83,8,916,2014-06-03,431,675.7,190.7,0.00
Anahuac,Alice Jackson White,SET 1,83,8,916,2014-12-09,398,675.7,157.7,0.52
Anahuac,Alice Jackson White,SET 1,83,8,916,2015-04-20,391,675.7,150.7,0.88
Anahuac,Alice Jackson White,SET 1,83,8,916,2015-08-28,417,675.7,176.7,1.23
Anahuac,Alice Jackson White,SET 1,83,8,916,2016-04-08,401,675.7,160.7,1.85
