site,plot,subplot,measurement,est_date,date,accr
Rookery Bay-4,3,a,1,1997-03-20,1999-09-02,2
Rookery Bay-4,3,a,1,1997-03-20,2000-04-28,6
Rookery Bay-4,3,a,1,1997-03-20,2000-12-15,12
Rookery Bay-4,3,a,1,1997-03-20,2005-05-07,17
Rookery Bay-4,3,a,1,1997-03-20,2006-02-17,21
Rookery Bay-4,3,b,1,1997-03-20,1997-10-29,2
Rookery Bay-4,3,b,1,1997-03-20,1998-03-12,1
Rookery Bay-4,3,b,1,1997-03-20,1999-09-02,0
Rookery Bay-4,3,b,1,1997-03-20,2000-04-28,5
Rookery Bay-4,3,b,1,1997-03-20,2000-12-15,2
Rookery Bay-4,3,b,1,1997-03-20,2005-05-07,18
Rookery Bay-4,3,b,1,1997-03-20,2006-02-17,9
Rookery Bay-4,3,c,1,1997-03-20,1997-10-29,2
Rookery Bay-4,3,c,1,1997-03-20,1998-03-12,3
Rookery Bay-4,3,c,1,1997-03-20,1999-09-02,2
Rookery Bay-4,3,c,1,1997-03-20,2000-04-28,4
Rookery Bay-4,3,c,1,1997-03-20,2000-12-15,5
Rookery Bay-4,3,c,1,1997-03-20,2005-05-07,13
Rookery Bay-4,3,c,1,1997-03-20,2006-02-17,29
Rookery Bay-3,1,a,1,1997-03-20,1997-10-29,6
Rookery Bay-3,1,a,1,1997-03-20,1998-03-12,8
Rookery Bay-3,1,a,1,1997-03-20,1999-09-02,16
Rookery Bay-3,1,a,1,1997-03-20,2000-04-28,18
Rookery Bay-3,1,a,1,1997-03-20,2000-12-15,18
Rookery Bay-3,1,a,1,1997-03-20,2005-05-07,56
Rookery Bay-3,1,a,1,1997-03-20,2006-02-17,50
Rookery Bay-3,1,b,1,1997-03-20,1997-10-29,8
Rookery Bay-3,1,b,1,1997-03-20,1998-03-12,10
Rookery Bay-3,1,b,1,1997-03-20,1999-09-02,29
Rookery Bay-3,1,b,1,1997-03-20,2000-04-28,32
Rookery Bay-3,1,b,1,1997-03-20,2000-12-15,19
Rookery Bay-3,1,b,1,1997-03-20,2005-05-07,59
Rookery Bay-3,1,b,1,1997-03-20,2006-02-17,49
Rookery Bay-3,1,c,1,1997-03-20,1997-10-29,8
Rookery Bay-3,1,c,1,1997-03-20,1998-03-12,10
Rookery Bay-3,1,c,1,1997-03-20,1999-09-02,20
Rookery Bay-3,1,c,1,1997-03-20,2000-04-28,20
Rookery Bay-3,1,c,1,1997-03-20,2000-12-15,"NA"
Rookery Bay-3,1,c,1,1997-03-20,2005-05-07,74
Rookery Bay-3,1,c,1,1997-03-20,2006-02-17,46
Rookery Bay-3,2,a,1,1997-03-20,1997-10-29,2
Rookery Bay-3,2,a,1,1997-03-20,1998-03-12,2
Rookery Bay-3,2,a,1,1997-03-20,1999-09-02,2
Rookery Bay-3,2,a,1,1997-03-20,2000-04-28,16
Rookery Bay-3,2,a,1,1997-03-20,2000-12-15,18
Rookery Bay-3,2,a,1,1997-03-20,2005-05-07,73
Rookery Bay-3,2,a,1,1997-03-20,2006-02-17,63
Rookery Bay-3,2,b,1,1997-03-20,1997-10-29,3
Rookery Bay-3,2,b,1,1997-03-20,1998-03-12,3
Rookery Bay-3,2,b,1,1997-03-20,1999-09-02,11
Rookery Bay-3,2,b,1,1997-03-20,2000-04-28,18
Rookery Bay-3,2,b,1,1997-03-20,2000-12-15,22
Rookery Bay-3,2,b,1,1997-03-20,2005-05-07,66
Rookery Bay-3,2,b,1,1997-03-20,2006-02-17,78
Rookery Bay-3,2,c,1,1997-03-20,1997-10-29,2
Rookery Bay-3,2,c,1,1997-03-20,1998-03-12,1
Rookery Bay-3,2,c,1,1997-03-20,1999-09-02,8
Rookery Bay-3,2,c,1,1997-03-20,2000-04-28,16
Rookery Bay-3,2,c,1,1997-03-20,2000-12-15,12
Rookery Bay-3,2,c,1,1997-03-20,2005-05-07,91
Rookery Bay-3,2,c,1,1997-03-20,2006-02-17,55
Rookery Bay-3,3,a,1,1997-03-20,1997-10-29,6
Rookery Bay-3,3,a,1,1997-03-20,1998-03-12,4
Rookery Bay-3,3,a,1,1997-03-20,1999-09-02,16
Rookery Bay-3,3,a,1,1997-03-20,2000-04-28,20
Rookery Bay-3,3,a,1,1997-03-20,2000-12-15,18
Rookery Bay-3,3,a,1,1997-03-20,2005-05-07,54
Rookery Bay-3,3,a,1,1997-03-20,2006-02-17,53
Rookery Bay-3,3,b,1,1997-03-20,1997-10-29,4
Rookery Bay-3,3,b,1,1997-03-20,1998-03-12,3
Rookery Bay-3,3,b,1,1997-03-20,1999-09-02,12
Rookery Bay-3,3,b,1,1997-03-20,2000-04-28,15
Rookery Bay-3,3,b,1,1997-03-20,2000-12-15,18
Rookery Bay-3,3,b,1,1997-03-20,2005-05-07,72
Rookery Bay-3,3,b,1,1997-03-20,2006-02-17,68
Rookery Bay-3,3,c,1,1997-03-20,1997-10-29,10
Rookery Bay-3,3,c,1,1997-03-20,1998-03-12,4
Rookery Bay-3,3,c,1,1997-03-20,1999-09-02,11
Rookery Bay-3,3,c,1,1997-03-20,2000-04-28,10
Rookery Bay-3,3,c,1,1997-03-20,2000-12-15,19
Rookery Bay-3,3,c,1,1997-03-20,2005-05-07,56
Rookery Bay-3,3,c,1,1997-03-20,2006-02-17,49
Rookery Bay-2,1,a,1,2001-11-13,2002-02-27,2
Rookery Bay-2,1,a,1,2001-11-13,2002-06-01,2
Rookery Bay-2,1,a,1,2001-11-13,2002-09-14,7
Rookery Bay-2,1,a,1,2001-11-13,2002-12-05,6
Rookery Bay-2,1,a,1,2001-11-13,2005-05-05,6
Rookery Bay-2,1,a,1,2001-11-13,2006-02-09,2
Rookery Bay-2,1,a,1,2001-11-13,2006-11-16,14
Rookery Bay-2,1,a,2,2001-11-13,2002-02-27,0
Rookery Bay-2,1,a,2,2001-11-13,2002-06-01,3
Rookery Bay-2,1,a,2,2001-11-13,2002-09-14,5
Rookery Bay-2,1,a,2,2001-11-13,2002-12-05,7
Rookery Bay-2,1,a,2,2001-11-13,2005-05-05,13
Rookery Bay-2,1,a,2,2001-11-13,2006-02-09,1
Rookery Bay-2,1,a,2,2001-11-13,2006-11-16,12
Rookery Bay-2,1,a,3,2001-11-13,2002-02-27,0
Rookery Bay-2,1,a,3,2001-11-13,2002-06-01,1
Rookery Bay-2,1,a,3,2001-11-13,2002-09-14,8
Rookery Bay-2,1,a,3,2001-11-13,2002-12-05,6
Rookery Bay-2,1,a,3,2001-11-13,2005-05-05,9
Rookery Bay-2,1,a,3,2001-11-13,2006-02-09,1
Rookery Bay-2,1,a,3,2001-11-13,2006-11-16,13
Rookery Bay-2,1,a,4,2001-11-13,2002-02-27,1
Rookery Bay-2,1,a,4,2001-11-13,2002-06-01,1
Rookery Bay-2,1,a,4,2001-11-13,2002-09-14,9
Rookery Bay-2,1,a,4,2001-11-13,2002-12-05,8
Rookery Bay-2,1,a,4,2001-11-13,2005-05-05,11
Rookery Bay-2,1,a,4,2001-11-13,2006-02-09,2
Rookery Bay-2,1,a,4,2001-11-13,2006-11-16,11
Rookery Bay-2,1,b,1,2001-11-13,2002-02-27,0
Rookery Bay-2,1,b,1,2001-11-13,2002-06-01,1
Rookery Bay-2,1,b,1,2001-11-13,2002-09-14,2
Rookery Bay-2,1,b,1,2001-11-13,2002-12-05,4
Rookery Bay-2,1,b,1,2001-11-13,2005-05-05,4
Rookery Bay-2,1,b,1,2001-11-13,2006-02-09,10
Rookery Bay-2,1,b,1,2001-11-13,2006-11-16,11
Rookery Bay-2,1,b,2,2001-11-13,2002-02-27,1
Rookery Bay-2,1,b,2,2001-11-13,2002-06-01,1
Rookery Bay-2,1,b,2,2001-11-13,2002-09-14,1
Rookery Bay-2,1,b,2,2001-11-13,2002-12-05,4
Rookery Bay-2,1,b,2,2001-11-13,2005-05-05,5
Rookery Bay-2,1,b,2,2001-11-13,2006-02-09,8
Rookery Bay-2,1,b,2,2001-11-13,2006-11-16,12
Rookery Bay-2,1,b,3,2001-11-13,2002-02-27,1
Rookery Bay-2,1,b,3,2001-11-13,2002-06-01,1
Rookery Bay-2,1,b,3,2001-11-13,2002-09-14,3
Rookery Bay-2,1,b,3,2001-11-13,2002-12-05,5
Rookery Bay-2,1,b,3,2001-11-13,2005-05-05,4
Rookery Bay-2,1,b,3,2001-11-13,2006-02-09,5
Rookery Bay-2,1,b,3,2001-11-13,2006-11-16,12
Rookery Bay-2,1,b,4,2001-11-13,2002-02-27,0
Rookery Bay-2,1,b,4,2001-11-13,2002-06-01,0
Rookery Bay-2,1,b,4,2001-11-13,2002-09-14,1
Rookery Bay-2,1,b,4,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,1,b,4,2001-11-13,2005-05-05,5
Rookery Bay-2,1,b,4,2001-11-13,2006-02-09,6
Rookery Bay-2,1,b,4,2001-11-13,2006-11-16,13
Rookery Bay-2,1,c,1,2001-11-13,2002-02-27,0
Rookery Bay-2,1,c,1,2001-11-13,2002-06-01,2
Rookery Bay-2,1,c,1,2001-11-13,2002-09-14,5
Rookery Bay-2,1,c,1,2001-11-13,2002-12-05,5
Rookery Bay-2,1,c,1,2001-11-13,2005-05-05,10
Rookery Bay-2,1,c,1,2001-11-13,2006-02-09,5
Rookery Bay-2,1,c,1,2001-11-13,2006-11-16,6
Rookery Bay-2,1,c,2,2001-11-13,2002-02-27,0
Rookery Bay-2,1,c,2,2001-11-13,2002-06-01,2
Rookery Bay-2,1,c,2,2001-11-13,2002-09-14,4
Rookery Bay-2,1,c,2,2001-11-13,2002-12-05,7
Rookery Bay-2,1,c,2,2001-11-13,2005-05-05,10
Rookery Bay-2,1,c,2,2001-11-13,2006-02-09,2
Rookery Bay-2,1,c,2,2001-11-13,2006-11-16,8
Rookery Bay-2,1,c,3,2001-11-13,2002-02-27,0
Rookery Bay-2,1,c,3,2001-11-13,2002-06-01,3
Rookery Bay-2,1,c,3,2001-11-13,2002-09-14,5
Rookery Bay-2,1,c,3,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,1,c,3,2001-11-13,2005-05-05,9
Rookery Bay-2,1,c,3,2001-11-13,2006-02-09,2
Rookery Bay-2,1,c,3,2001-11-13,2006-11-16,6
Rookery Bay-2,1,c,4,2001-11-13,2002-02-27,0
Rookery Bay-2,1,c,4,2001-11-13,2002-06-01,2
Rookery Bay-2,1,c,4,2001-11-13,2002-09-14,"NA"
Rookery Bay-2,1,c,4,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,1,c,4,2001-11-13,2005-05-05,11
Rookery Bay-2,1,c,4,2001-11-13,2006-02-09,3
Rookery Bay-2,1,c,4,2001-11-13,2006-11-16,6
Rookery Bay-2,2,a,1,2001-11-13,2002-02-27,2
Rookery Bay-2,2,a,1,2001-11-13,2002-06-01,0
Rookery Bay-2,2,a,1,2001-11-13,2002-09-14,5
Rookery Bay-2,2,a,1,2001-11-13,2002-12-05,3
Rookery Bay-2,2,a,1,2001-11-13,2005-05-05,5
Rookery Bay-2,2,a,1,2001-11-13,2006-02-09,7
Rookery Bay-2,2,a,1,2001-11-13,2006-11-16,10
Rookery Bay-2,2,a,2,2001-11-13,2002-02-27,2
Rookery Bay-2,2,a,2,2001-11-13,2002-06-01,0
Rookery Bay-2,2,a,2,2001-11-13,2002-09-14,3
Rookery Bay-2,2,a,2,2001-11-13,2002-12-05,4
Rookery Bay-2,2,a,2,2001-11-13,2005-05-05,5
Rookery Bay-2,2,a,2,2001-11-13,2006-02-09,7
Rookery Bay-2,2,a,2,2001-11-13,2006-11-16,11
Rookery Bay-2,2,a,3,2001-11-13,2002-02-27,0
Rookery Bay-2,2,a,3,2001-11-13,2002-06-01,0
Rookery Bay-2,2,a,3,2001-11-13,2002-09-14,5
Rookery Bay-2,2,a,3,2001-11-13,2002-12-05,2
Rookery Bay-2,2,a,3,2001-11-13,2005-05-05,5
Rookery Bay-2,2,a,3,2001-11-13,2006-02-09,7
Rookery Bay-2,2,a,3,2001-11-13,2006-11-16,9
Rookery Bay-2,2,a,4,2001-11-13,2002-02-27,0
Rookery Bay-2,2,a,4,2001-11-13,2002-06-01,0
Rookery Bay-2,2,a,4,2001-11-13,2002-09-14,7
Rookery Bay-2,2,a,4,2001-11-13,2002-12-05,5
Rookery Bay-2,2,a,4,2001-11-13,2005-05-05,5
Rookery Bay-2,2,a,4,2001-11-13,2006-02-09,7
Rookery Bay-2,2,a,4,2001-11-13,2006-11-16,11
Rookery Bay-2,2,b,1,2001-11-13,2002-02-27,4
Rookery Bay-2,2,b,1,2001-11-13,2002-06-01,0
Rookery Bay-2,2,b,1,2001-11-13,2002-09-14,2
Rookery Bay-2,2,b,1,2001-11-13,2002-12-05,4
Rookery Bay-2,2,b,1,2001-11-13,2005-05-05,10
Rookery Bay-2,2,b,1,2001-11-13,2006-02-09,13
Rookery Bay-2,2,b,1,2001-11-13,2006-11-16,10
Rookery Bay-2,2,b,2,2001-11-13,2002-02-27,4
Rookery Bay-2,2,b,2,2001-11-13,2002-06-01,1
Rookery Bay-2,2,b,2,2001-11-13,2002-09-14,3
Rookery Bay-2,2,b,2,2001-11-13,2002-12-05,2
Rookery Bay-2,2,b,2,2001-11-13,2005-05-05,12
Rookery Bay-2,2,b,2,2001-11-13,2006-02-09,14
Rookery Bay-2,2,b,2,2001-11-13,2006-11-16,12
Rookery Bay-2,2,b,3,2001-11-13,2002-02-27,3
Rookery Bay-2,2,b,3,2001-11-13,2002-06-01,1
Rookery Bay-2,2,b,3,2001-11-13,2002-09-14,2
Rookery Bay-2,2,b,3,2001-11-13,2002-12-05,2
Rookery Bay-2,2,b,3,2001-11-13,2005-05-05,10
Rookery Bay-2,2,b,3,2001-11-13,2006-02-09,13
Rookery Bay-2,2,b,3,2001-11-13,2006-11-16,13
Rookery Bay-2,2,b,4,2001-11-13,2002-02-27,2
Rookery Bay-2,2,b,4,2001-11-13,2002-06-01,1
Rookery Bay-2,2,b,4,2001-11-13,2002-09-14,"NA"
Rookery Bay-2,2,b,4,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,2,b,4,2001-11-13,2005-05-05,11
Rookery Bay-2,2,b,4,2001-11-13,2006-02-09,13
Rookery Bay-2,2,b,4,2001-11-13,2006-11-16,10
Rookery Bay-2,2,c,1,2001-11-13,2002-02-27,3
Rookery Bay-2,2,c,1,2001-11-13,2002-06-01,1
Rookery Bay-2,2,c,1,2001-11-13,2002-09-14,7
Rookery Bay-2,2,c,1,2001-11-13,2002-12-05,11
Rookery Bay-2,2,c,1,2001-11-13,2005-05-05,7
Rookery Bay-2,2,c,1,2001-11-13,2006-02-09,8
Rookery Bay-2,2,c,1,2001-11-13,2006-11-16,11
Rookery Bay-2,2,c,2,2001-11-13,2002-02-27,0
Rookery Bay-2,2,c,2,2001-11-13,2002-06-01,1
Rookery Bay-2,2,c,2,2001-11-13,2002-09-14,8
Rookery Bay-2,2,c,2,2001-11-13,2002-12-05,10
Rookery Bay-2,2,c,2,2001-11-13,2005-05-05,7
Rookery Bay-2,2,c,2,2001-11-13,2006-02-09,10
Rookery Bay-2,2,c,2,2001-11-13,2006-11-16,12
Rookery Bay-2,2,c,3,2001-11-13,2002-02-27,1
Rookery Bay-2,2,c,3,2001-11-13,2002-06-01,2
Rookery Bay-2,2,c,3,2001-11-13,2002-09-14,5
Rookery Bay-2,2,c,3,2001-11-13,2002-12-05,11
Rookery Bay-2,2,c,3,2001-11-13,2005-05-05,6
Rookery Bay-2,2,c,3,2001-11-13,2006-02-09,9
Rookery Bay-2,2,c,3,2001-11-13,2006-11-16,12
Rookery Bay-2,2,c,4,2001-11-13,2002-02-27,0
Rookery Bay-2,2,c,4,2001-11-13,2002-06-01,1
Rookery Bay-2,2,c,4,2001-11-13,2002-09-14,5
Rookery Bay-2,2,c,4,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,2,c,4,2001-11-13,2005-05-05,7
Rookery Bay-2,2,c,4,2001-11-13,2006-02-09,9
Rookery Bay-2,2,c,4,2001-11-13,2006-11-16,10
Rookery Bay-2,3,a,1,2001-11-13,2002-02-27,4
Rookery Bay-2,3,a,1,2001-11-13,2002-06-01,4
Rookery Bay-2,3,a,1,2001-11-13,2002-09-14,3
Rookery Bay-2,3,a,1,2001-11-13,2002-12-05,8
Rookery Bay-2,3,a,1,2001-11-13,2005-05-05,5
Rookery Bay-2,3,a,1,2001-11-13,2006-02-09,"NA"
Rookery Bay-2,3,a,1,2001-11-13,2006-11-16,18
Rookery Bay-2,3,a,2,2001-11-13,2002-02-27,2
Rookery Bay-2,3,a,2,2001-11-13,2002-06-01,5
Rookery Bay-2,3,a,2,2001-11-13,2002-09-14,3
Rookery Bay-2,3,a,2,2001-11-13,2002-12-05,8
Rookery Bay-2,3,a,2,2001-11-13,2005-05-05,5
Rookery Bay-2,3,a,2,2001-11-13,2006-02-09,"NA"
Rookery Bay-2,3,a,2,2001-11-13,2006-11-16,18
Rookery Bay-2,3,a,3,2001-11-13,2002-02-27,4
Rookery Bay-2,3,a,3,2001-11-13,2002-06-01,4
Rookery Bay-2,3,a,3,2001-11-13,2002-09-14,1
Rookery Bay-2,3,a,3,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,3,a,3,2001-11-13,2005-05-05,5
Rookery Bay-2,3,a,3,2001-11-13,2006-02-09,"NA"
Rookery Bay-2,3,a,3,2001-11-13,2006-11-16,15
Rookery Bay-2,3,a,4,2001-11-13,2002-02-27,1
Rookery Bay-2,3,a,4,2001-11-13,2002-06-01,3
Rookery Bay-2,3,a,4,2001-11-13,2002-09-14,4
Rookery Bay-2,3,a,4,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,3,a,4,2001-11-13,2005-05-05,5
Rookery Bay-2,3,a,4,2001-11-13,2006-02-09,"NA"
Rookery Bay-2,3,a,4,2001-11-13,2006-11-16,16
Rookery Bay-2,3,b,1,2001-11-13,2002-02-27,2
Rookery Bay-2,3,b,1,2001-11-13,2002-06-01,1
Rookery Bay-2,3,b,1,2001-11-13,2002-09-14,1
Rookery Bay-2,3,b,1,2001-11-13,2002-12-05,5
Rookery Bay-2,3,b,1,2001-11-13,2005-05-05,7
Rookery Bay-2,3,b,1,2001-11-13,2006-02-09,12
Rookery Bay-2,3,b,1,2001-11-13,2006-11-16,16
Rookery Bay-2,3,b,2,2001-11-13,2002-02-27,1
Rookery Bay-2,3,b,2,2001-11-13,2002-06-01,2
Rookery Bay-2,3,b,2,2001-11-13,2002-09-14,2
Rookery Bay-2,3,b,2,2001-11-13,2002-12-05,9
Rookery Bay-2,3,b,2,2001-11-13,2005-05-05,5
Rookery Bay-2,3,b,2,2001-11-13,2006-02-09,12
Rookery Bay-2,3,b,2,2001-11-13,2006-11-16,15
Rookery Bay-2,3,b,3,2001-11-13,2002-02-27,1
Rookery Bay-2,3,b,3,2001-11-13,2002-06-01,1
Rookery Bay-2,3,b,3,2001-11-13,2002-09-14,2
Rookery Bay-2,3,b,3,2001-11-13,2002-12-05,6
Rookery Bay-2,3,b,3,2001-11-13,2005-05-05,8
Rookery Bay-2,3,b,3,2001-11-13,2006-02-09,13
Rookery Bay-2,3,b,3,2001-11-13,2006-11-16,15
Rookery Bay-2,3,b,4,2001-11-13,2002-02-27,0
Rookery Bay-2,3,b,4,2001-11-13,2002-06-01,1
Rookery Bay-2,3,b,4,2001-11-13,2002-09-14,1
Rookery Bay-2,3,b,4,2001-11-13,2002-12-05,6
Rookery Bay-2,3,b,4,2001-11-13,2005-05-05,5
Rookery Bay-2,3,b,4,2001-11-13,2006-02-09,15
Rookery Bay-2,3,b,4,2001-11-13,2006-11-16,16
Rookery Bay-2,3,c,1,2001-11-13,2002-02-27,4
Rookery Bay-2,3,c,1,2001-11-13,2002-06-01,4
Rookery Bay-2,3,c,1,2001-11-13,2002-09-14,5
Rookery Bay-2,3,c,1,2001-11-13,2002-12-05,7
Rookery Bay-2,3,c,1,2001-11-13,2005-05-05,11
Rookery Bay-2,3,c,1,2001-11-13,2006-02-09,14
Rookery Bay-2,3,c,1,2001-11-13,2006-11-16,14
Rookery Bay-2,3,c,2,2001-11-13,2002-02-27,1
Rookery Bay-2,3,c,2,2001-11-13,2002-06-01,3
Rookery Bay-2,3,c,2,2001-11-13,2002-09-14,3
Rookery Bay-2,3,c,2,2001-11-13,2002-12-05,8
Rookery Bay-2,3,c,2,2001-11-13,2005-05-05,12
Rookery Bay-2,3,c,2,2001-11-13,2006-02-09,14
Rookery Bay-2,3,c,2,2001-11-13,2006-11-16,10
Rookery Bay-2,3,c,3,2001-11-13,2002-02-27,0
Rookery Bay-2,3,c,3,2001-11-13,2002-06-01,5
Rookery Bay-2,3,c,3,2001-11-13,2002-09-14,5
Rookery Bay-2,3,c,3,2001-11-13,2002-12-05,9
Rookery Bay-2,3,c,3,2001-11-13,2005-05-05,14
Rookery Bay-2,3,c,3,2001-11-13,2006-02-09,14
Rookery Bay-2,3,c,3,2001-11-13,2006-11-16,14
Rookery Bay-2,3,c,4,2001-11-13,2002-02-27,0
Rookery Bay-2,3,c,4,2001-11-13,2002-06-01,3
Rookery Bay-2,3,c,4,2001-11-13,2002-09-14,6
Rookery Bay-2,3,c,4,2001-11-13,2002-12-05,6
Rookery Bay-2,3,c,4,2001-11-13,2005-05-05,15
Rookery Bay-2,3,c,4,2001-11-13,2006-02-09,14
Rookery Bay-2,3,c,4,2001-11-13,2006-11-16,13
Rookery Bay-2,4,a,1,2001-11-13,2002-02-27,1
Rookery Bay-2,4,a,1,2001-11-13,2002-06-01,1
Rookery Bay-2,4,a,1,2001-11-13,2002-09-14,4
Rookery Bay-2,4,a,1,2001-11-13,2002-12-05,6
Rookery Bay-2,4,a,1,2001-11-13,2005-05-05,4
Rookery Bay-2,4,a,1,2001-11-13,2006-02-09,1
Rookery Bay-2,4,a,1,2001-11-13,2006-11-16,9
Rookery Bay-2,4,a,2,2001-11-13,2002-02-27,1
Rookery Bay-2,4,a,2,2001-11-13,2002-06-01,1
Rookery Bay-2,4,a,2,2001-11-13,2002-09-14,3
Rookery Bay-2,4,a,2,2001-11-13,2002-12-05,5
Rookery Bay-2,4,a,2,2001-11-13,2005-05-05,4
Rookery Bay-2,4,a,2,2001-11-13,2006-02-09,0
Rookery Bay-2,4,a,2,2001-11-13,2006-11-16,6
Rookery Bay-2,4,a,3,2001-11-13,2002-02-27,2
Rookery Bay-2,4,a,3,2001-11-13,2002-06-01,1
Rookery Bay-2,4,a,3,2001-11-13,2002-09-14,4
Rookery Bay-2,4,a,3,2001-11-13,2002-12-05,5
Rookery Bay-2,4,a,3,2001-11-13,2005-05-05,2
Rookery Bay-2,4,a,3,2001-11-13,2006-02-09,0
Rookery Bay-2,4,a,3,2001-11-13,2006-11-16,8
Rookery Bay-2,4,a,4,2001-11-13,2002-02-27,0
Rookery Bay-2,4,a,4,2001-11-13,2002-06-01,0
Rookery Bay-2,4,a,4,2001-11-13,2002-09-14,4
Rookery Bay-2,4,a,4,2001-11-13,2002-12-05,"NA"
Rookery Bay-2,4,a,4,2001-11-13,2005-05-05,3
Rookery Bay-2,4,a,4,2001-11-13,2006-02-09,1
Rookery Bay-2,4,a,4,2001-11-13,2006-11-16,1
Rookery Bay-2,4,b,1,2001-11-13,2002-02-27,1
Rookery Bay-2,4,b,1,2001-11-13,2002-06-01,2
Rookery Bay-2,4,b,1,2001-11-13,2002-09-14,1
Rookery Bay-2,4,b,1,2001-11-13,2002-12-05,4
Rookery Bay-2,4,b,1,2001-11-13,2005-05-05,6
Rookery Bay-2,4,b,1,2001-11-13,2006-02-09,9
Rookery Bay-2,4,b,1,2001-11-13,2006-11-16,13
Rookery Bay-2,4,b,2,2001-11-13,2002-02-27,2
Rookery Bay-2,4,b,2,2001-11-13,2002-06-01,3
Rookery Bay-2,4,b,2,2001-11-13,2002-09-14,2
Rookery Bay-2,4,b,2,2001-11-13,2002-12-05,3
Rookery Bay-2,4,b,2,2001-11-13,2005-05-05,5
Rookery Bay-2,4,b,2,2001-11-13,2006-02-09,11
Rookery Bay-2,4,b,2,2001-11-13,2006-11-16,10
Rookery Bay-2,4,b,3,2001-11-13,2002-02-27,1
Rookery Bay-2,4,b,3,2001-11-13,2002-06-01,4
Rookery Bay-2,4,b,3,2001-11-13,2002-09-14,1
Rookery Bay-2,4,b,3,2001-11-13,2002-12-05,3
Rookery Bay-2,4,b,3,2001-11-13,2005-05-05,3
Rookery Bay-2,4,b,3,2001-11-13,2006-02-09,10
Rookery Bay-2,4,b,3,2001-11-13,2006-11-16,16
Rookery Bay-2,4,b,4,2001-11-13,2002-02-27,1
Rookery Bay-2,4,b,4,2001-11-13,2002-06-01,4
Rookery Bay-2,4,b,4,2001-11-13,2002-09-14,2
Rookery Bay-2,4,b,4,2001-11-13,2002-12-05,4
Rookery Bay-2,4,b,4,2001-11-13,2005-05-05,4
Rookery Bay-2,4,b,4,2001-11-13,2006-02-09,10
Rookery Bay-2,4,b,4,2001-11-13,2006-11-16,14
