Site,Plot,Measuremen,Est_date,10_27_1998,01_27_1999,07_13_1999,10_13_1999,02_18_2000,06_23_2000,10_18_2000,01_17_2001,05_03_2001,07_31_2001,04_18_2002,07_05_2002,10_22_2002,04_22_2003,08_26_2003,11_20_2003,03_05_2004,06_18_2004,08_17_2004,02_07_2005,06_15_2005,02_10_2006,06_22_2006,11_14_2006,04_10_2007,07_11_2007,10_15_2007,01_08_2008,04_07_2008,07_22_2008,10_27_2008,01_13_2009,04_14_2009,07_21_2009,01_22_2010,09_22_2016,05_12_2017,12_05_2017,05_06_2018,12_10_2018,04_27_2019
SH2,2a,2,07_28_1998,0.1,1,1,4.3,6.5,NA,0.5,4.2,5.4,6.5,3.8,3.7,1.5,9,17.5,12,11.4,19.2,13.1,NF,20.9,7,17,18,20,18,17,12,14,16,NF,32,13,NA,14,NA,NA,NA,NA,NA,NA
SH2,2a,3,07_28_1998,0.1,1,1,4.2,4,NA,0.5,5,6.8,7.4,4,4.5,2.2,8.4,15.3,12.5,12.8,20.6,11.8,NF,17.2,9,15,22,19,23,15,15,15,20,NF,26,15,NA,14,NA,NA,NA,NA,NA,NA
SH2,2b,1,07_28_1998,0,1,1,0.4,3,NA,0.9,3.4,4.4,5,4.8,5.7,4.1,8.5,9.5,12.5,12,14.1,13.8,6.3,17.3,10.1,22,13,20,30,18,10,13,15,12,33,20,NA,18,NA,NA,NA,NA,NA,NA
SH2,2b,2,07_28_1998,0.1,1,1,0.4,3,NA,1.2,2.5,3.8,3.4,5.5,6.8,2.2,9,8.5,10.2,18.1,8.9,15.4,17,14.4,6,25,13,21,28,14,12,13,18,15,30,17,NA,12,NA,NA,NA,NA,NA,NA
SH2,2b,3,07_28_1998,0.1,1,1,0.4,1,NA,1.1,2.8,3,5.2,5.2,5.5,2.2,9.5,10,11.4,15.2,18.3,16.3,13.8,9.2,7,28,14,17,26,16,13,14,22,15,31,17,NA,12,NA,NA,NA,NA,NA,NA
SH2,2c,1,07_28_1998,0,1,1,8,2,NA,1.3,5.5,13.5,5.5,5.5,3.3,4,7.5,12,9,9.2,NF,16.4,12.5,16.8,6,20,9,12,34,23,11,20,15,20,30,18,NA,20,NA,NA,NA,NA,NA,NA
SH2,2c,2,07_28_1998,0,1,1,4.4,4.5,NA,1,6.3,17.2,5.6,6,3.7,4.5,8.8,12.6,9.5,12.3,NF,16.3,16.6,9.6,8,20,8,14,30,22,11,19,17,22,30,17,NA,23,NA,NA,NA,NA,NA,NA
SH2,2c,3,07_28_1998,0.1,1,1,4.5,NA,NA,0.9,7.1,15.6,7.7,6.5,4.1,4.7,8,13,10,11.3,NF,14.4,15.9,12.2,10,20,11,18,28,20,12,14,20,18,27,14,NA,23,NA,NA,NA,NA,NA,NA
SH2,3a,1,07_28_1998,0,1,5,0.2,1,4.5,0.5,5.6,8,9.8,9,5,6.5,5.5,9.8,4.9,NF,12.7,17.5,11.4,17.1,11,23,10,21,13,13,21,15,17,NF,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,3a,2,07_28_1998,0.1,1,5,0.2,5,5.1,0.5,6.8,6.9,6.8,7.8,3.8,6.2,6.8,8.5,8.5,NF,13,25.2,15.6,20.7,9.4,25,9,19,14,18,19,16,13,NF,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,3a,3,07_28_1998,0.1,1,3,0.2,5,2.5,0.5,5.8,5.6,9.1,9.4,4.2,7.7,6.9,9.6,7.6,NF,11.9,18,9.8,17.2,11.4,23,10,19,17,20,18,14,14,NF,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,3b,1,07_28_1998,0.1,2,2,1,7,1.8,1.5,8.8,5,8.8,6.5,1.5,2.5,10.2,10.5,15.8,10.5,8.2,19.8,13.2,11.6,9,13,7,22,22,21,22,15,13,14,28,NA,NA,NF,NA,NA,NA,NA,NA,NA
SH2,3b,2,07_28_1998,0.1,2,3,1,9,2.1,2,10.1,4.8,7,5.5,3.3,4,10.5,10,16.2,4.4,6.7,17,13.4,17.9,7,11,8,24,23,23,22,16,18,15,28,NA,NA,NF,NA,NA,NA,NA,NA,NA
SH2,3b,3,07_28_1998,0.1,1,1,1,6,1.6,2.1,9.3,2.6,10.6,7.2,3,4.6,10.9,9.4,12.5,11,11.8,15.4,14.9,19.5,11,12,9,24,26,20,19,14,18,13,30,NA,NA,NF,NA,NA,NA,NA,NA,NA
SH2,3c,1,07_28_1998,0.1,2,3,3,3.5,2.3,7.2,5.8,4.6,11.3,18.7,7.1,8.8,15,9.3,12,30.5,13.5,22.4,17.5,23,11,23,16,22,28,23,23,19,19,25,26,NA,NA,11,NA,NA,NA,NA,NA,NA
SH2,3c,2,07_28_1998,0.1,1,3,1.5,3.5,2,4.7,6.7,5.3,13.8,17.2,8,9.2,15.8,9.9,11,35.3,19.1,20.3,15.6,24.7,9,26,16,23,28,23,20,21,16,25,25,NA,NA,8,NA,NA,NA,NA,NA,NA
SH2,3c,3,07_28_1998,0.1,2,2,3,1,1,7.5,8.7,3.9,15.8,18,8.8,9.8,14.8,10,10.5,35.8,18.9,18.1,18.4,27,10,24,14,25,25,20,21,22,16,25,27,NA,NA,7,NA,NA,NA,NA,NA,NA
SH2,1d,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,1,NF,2,4,3.5,2,10,NF,NA,NA,NA,NA
SH2,1d,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.5,0.5,NF,3,6.5,3,1,NA,NA,NA,NA,NA,NA
SH2,1d,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0.5,0.5,NF,1,4.2,3,1,NA,NA,NA,NA,NA,NA
SH2,1e,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,NF,1,1,1,2,26,13,NA,NA,NA,NA
SH2,1e,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,NF,1,1,2,2,NA,NA,NA,NA,NA,NA
SH2,1e,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,NF,1,1.2,4,2,NA,NA,NA,NA,NA,NA
SH2,1f,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NF,NF,NF,4,4.7,2.5,3,11,NF,NA,NA,NA,NA
SH2,1f,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NF,NF,NF,4,5.5,1.5,3,NA,NA,NA,NA,NA,NA
SH2,1f,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NF,NF,NF,2,4,1.5,4,NA,NA,NA,NA,NA,NA
SH2,2d,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,NF,3,2.5,3,NF,26,27,NA,NA,NA,NA
SH2,2d,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,NF,4,3,4,NF,NA,NA,NA,NA,NA,NA
SH2,2d,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,NF,3,3.5,5.3,NF,NA,NA,NA,NA,NA,NA
SH2,2e,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,1,3,5,3.5,NA,39,31,NA,NA,NA,NA
SH2,2e,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,2,1,4,4.3,NA,NA,NA,NA,NA,NA,NA
SH2,2e,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,1,2,2,4,NA,NA,NA,NA,NA,NA,NA
SH2,2f,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0.5,0.5,0.5,2,2,2,NA,NA,NF,23,NA,NA,NA,NA
SH2,2f,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,4,1,2.5,NA,NA,NF,NA,NA,NA,NA,NA
SH2,2f,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,0.5,0.5,2,3,2,NA,NA,NF,NA,NA,NA,NA,NA
SH2,3d,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,NF,NF,2,1,0.9,2,3,21,24,NA,NA,NA,NA
SH2,3d,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,NF,NF,2,1,0.6,1,3,NA,NA,NA,NA,NA,NA
SH2,3d,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,NF,NF,3,1,2,2,2,NA,NA,NA,NA,NA,NA
SH2,3e,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NF,NF,NF,2,2.9,1.5,NF,35,14,NA,NA,NA,NA
SH2,3e,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NF,NF,NF,2,4,2,NF,NA,NA,NA,NA,NA,NA
SH2,3e,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NF,NF,NF,2,3.7,1.5,NF,NA,NA,NA,NA,NA,NA
SH2,3f,1,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,NF,NF,1,2,2.8,2,4,21,35,NA,NA,NA,NA
SH2,3f,2,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,NF,NF,1,1,2.3,1.3,3,NA,NA,NA,NA,NA,NA
SH2,3f,3,04_10_2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5,NF,NF,2,1,2,1,4,NA,NA,NA,NA,NA,NA
SH2,1x,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,1,1,1
SH2,1x,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,1x,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,1y,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,23
SH2,1y,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,1y,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,1z,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,1,1,7
SH2,1z,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,1z,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,2x,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1
SH2,2x,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,2x,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,2y,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,1
SH2,2y,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,2y,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,2z,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,1,0,1
SH2,2z,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,2z,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,3x,1,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,1,1,1
SH2,3x,2,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,3x,3,05_12_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
SH2,3y,1,12_10_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
SH2,3y,2,12_10_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,3y,3,12_10_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH2,3z,1,12_10_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF
SH2,3z,2,12_10_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF
SH2,3z,3,12_10_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF
